46,1,2,1,1,0,3,3,2,2,3,2,0,,,Edit Size,Total Example,Correct,%,,Patch Distance,Count,Percentage
85,1,11,12,12,12,12,12,12,3,12,11,3,,,,,,,,,,
129,1,4,3,15,15,15,15,15,15,15,15,3,,,,,,,,,,
168,1,3,13,14,14,3,3,13,13,13,3,3,,,,,,,,,,
196,1,5,4,5,4,3,5,5,5,3,4,3,,,,,,,,,,
256,1,4,3,4,8,4,3,5,8,4,5,3,,,,,,,,,,
320,1,5,4,3,4,4,3,6,4,4,5,3,,,,,,,,,,
447,1,3,3,3,3,4,4,4,4,7,4,3,,,,,,,,,,
642,1,5,6,6,3,5,5,4,4,6,6,3,,,,,,,,,,
651,1,3,4,4,4,5,4,4,4,5,5,3,,,,,,,,,,
669,1,4,3,4,3,5,4,8,4,3,3,3,,,,,,,,,,
741,1,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
848,1,4,4,3,4,4,5,5,5,5,4,3,,,,,,,,,,
857,1,12,4,5,4,5,4,3,4,4,3,3,,,,,,,,,,
885,1,5,3,5,4,5,3,3,5,6,6,3,,,,,,,,,,
974,1,4,5,4,3,5,4,4,5,3,3,3,,,,,,,,,,
134,2,3,4,4,4,4,4,5,4,4,4,3,,,,,,,,,,
136,2,5,3,6,4,6,6,6,6,5,6,3,,,,,,,,,,
158,2,4,4,3,5,5,5,5,5,5,4,3,,,,,,,,,,
257,2,7,7,4,4,6,7,3,4,8,8,3,,,,,,,,,,
301,2,5,4,4,5,5,6,5,3,6,6,3,,,,,,,,,,
310,2,5,4,5,4,5,5,4,4,3,6,3,,,,,,,,,,
364,2,4,5,3,4,5,6,4,6,5,5,3,,,,,,,,,,
379,2,5,5,5,4,5,3,6,6,5,6,3,,,,,,,,,,
433,2,3,4,4,4,4,5,5,3,4,5,3,,,,,,,,,,
468,2,10,4,9,9,9,10,5,3,5,4,3,,,,,,,,,,
554,2,5,6,4,8,4,8,4,3,8,5,3,,,,,,,,,,
569,2,4,4,4,5,4,4,3,5,5,3,3,,,,,,,,,,
627,2,4,5,4,3,6,6,6,4,4,4,3,,,,,,,,,,
668,2,5,4,4,7,3,4,5,6,6,5,3,,,,,,,,,,
674,2,17,17,17,3,5,5,5,16,16,4,3,,,,,,,,,,
834,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
991,2,3,3,8,3,3,4,4,4,4,4,3,,,,,,,,,,
1040,2,4,5,4,3,5,4,5,4,6,5,3,,,,,,,,,,
144,3,10,3,11,11,10,11,11,11,11,4,3,,,,,,,,,,
148,3,3,11,3,4,3,11,12,3,10,3,3,,,,,,,,,,
214,3,4,3,4,4,4,3,4,4,4,4,3,,,,,,,,,,
250,3,3,4,4,4,4,5,5,4,4,5,3,,,,,,,,,,
305,3,3,4,3,3,13,4,4,13,3,4,3,,,,,,,,,,
346,3,4,5,5,6,6,3,4,4,7,8,3,,,,,,,,,,
480,3,3,3,4,5,3,4,4,5,5,4,3,,,,,,,,,,
571,3,3,4,4,4,5,4,5,4,5,5,3,,,,,,,,,,
